IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZUZANNA,KOBIETA,6562
ZOFIA,KOBIETA,6325
HANNA,KOBIETA,6065
JULIA,KOBIETA,5954
MAJA,KOBIETA,5585
LAURA,KOBIETA,5569
OLIWIA,KOBIETA,4770
ALICJA,KOBIETA,4767
LENA,KOBIETA,4599
POLA,KOBIETA,4483
MARIA,KOBIETA,4206
EMILIA,KOBIETA,3570
ANTONINA,KOBIETA,3478
AMELIA,KOBIETA,3425
IGA,KOBIETA,3215
MARCELINA,KOBIETA,3195
WIKTORIA,KOBIETA,3147
MICHALINA,KOBIETA,2921
LILIANA,KOBIETA,2887
ALEKSANDRA,KOBIETA,2846
HELENA,KOBIETA,2687
KLARA,KOBIETA,2555
GABRIELA,KOBIETA,2331
BLANKA,KOBIETA,2260
NADIA,KOBIETA,2232
NATALIA,KOBIETA,2228
ANNA,KOBIETA,2147
KORNELIA,KOBIETA,2081
ŁUCJA,KOBIETA,1887
JAGODA,KOBIETA,1738
NELA,KOBIETA,1721
MILENA,KOBIETA,1535
LILIANNA,KOBIETA,1479
ANASTAZJA,KOBIETA,1421
KAJA,KOBIETA,1411
NINA,KOBIETA,1344
NIKOLA,KOBIETA,1255
WERONIKA,KOBIETA,1219
BARBARA,KOBIETA,1166
MIA,KOBIETA,1145
RÓŻA,KOBIETA,1079
ANIELA,KOBIETA,1078
MARTYNA,KOBIETA,1077
MATYLDA,KOBIETA,1061
ROZALIA,KOBIETA,1031
SARA,KOBIETA,1008
KAROLINA,KOBIETA,969
AGATA,KOBIETA,950
MAGDALENA,KOBIETA,858
LIWIA,KOBIETA,851
GAJA,KOBIETA,744
ELIZA,KOBIETA,738
KINGA,KOBIETA,737
ADRIANNA,KOBIETA,716
MARIANNA,KOBIETA,685
AURELIA,KOBIETA,677
KALINA,KOBIETA,626
IZABELA,KOBIETA,612
MAŁGORZATA,KOBIETA,602
JOANNA,KOBIETA,562
LIDIA,KOBIETA,559
EWA,KOBIETA,559
BIANKA,KOBIETA,512
MELANIA,KOBIETA,505
PAULINA,KOBIETA,497
URSZULA,KOBIETA,497
ZOJA,KOBIETA,479
DOMINIKA,KOBIETA,468
WANDA,KOBIETA,456
MARTA,KOBIETA,446
MALWINA,KOBIETA,441
IDA,KOBIETA,439
APOLONIA,KOBIETA,438
KATARZYNA,KOBIETA,433
KLAUDIA,KOBIETA,386
DIANA,KOBIETA,373
PATRYCJA,KOBIETA,353
JAGNA,KOBIETA,350
OLGA,KOBIETA,333
DARIA,KOBIETA,314
NEL,KOBIETA,306
STEFANIA,KOBIETA,297
LUIZA,KOBIETA,296
DOROTA,KOBIETA,295
ELENA,KOBIETA,287
RITA,KOBIETA,283
ADA,KOBIETA,260
LARA,KOBIETA,256
KAMILA,KOBIETA,253
EMMA,KOBIETA,251
MARIKA,KOBIETA,249
LILIA,KOBIETA,247
SOFIA,KOBIETA,243
CELINA,KOBIETA,213
LEA,KOBIETA,212
OLIVIA,KOBIETA,209
JADWIGA,KOBIETA,207
ADELA,KOBIETA,197
LILA,KOBIETA,189
INGA,KOBIETA,187
SONIA,KOBIETA,182
JANINA,KOBIETA,178
ELŻBIETA,KOBIETA,170
DAGMARA,KOBIETA,169
FELICJA,KOBIETA,169
MONIKA,KOBIETA,168
TOLA,KOBIETA,167
JAŚMINA,KOBIETA,163
AGNIESZKA,KOBIETA,161
SANDRA,KOBIETA,160
ALINA,KOBIETA,158
MILA,KOBIETA,144
JUSTYNA,KOBIETA,142
MARLENA,KOBIETA,138
ROKSANA,KOBIETA,131
NOEMI,KOBIETA,118
ESTERA,KOBIETA,115
JULITA,KOBIETA,115
KARINA,KOBIETA,115
LIVIA,KOBIETA,112
VICTORIA,KOBIETA,111
GLORIA,KOBIETA,110
ANITA,KOBIETA,109
JOWITA,KOBIETA,103
JULIANNA,KOBIETA,103
JUDYTA,KOBIETA,101
KRYSTYNA,KOBIETA,99
IRENA,KOBIETA,98
MILANA,KOBIETA,93
FRANCISZKA,KOBIETA,93
FAUSTYNA,KOBIETA,92
KONSTANCJA,KOBIETA,90
VANESSA,KOBIETA,89
MAYA,KOBIETA,87
NATASZA,KOBIETA,86
EWELINA,KOBIETA,85
FLORENTYNA,KOBIETA,85
INKA,KOBIETA,84
IZABELLA,KOBIETA,82
TERESA,KOBIETA,81
MALINA,KOBIETA,80
ALISA,KOBIETA,80
ANTONIA,KOBIETA,79
OTYLIA,KOBIETA,76
SABINA,KOBIETA,74
OKTAWIA,KOBIETA,74
STELLA,KOBIETA,71
DANUTA,KOBIETA,69
LUCYNA,KOBIETA,68
KLEMENTYNA,KOBIETA,68
MIRA,KOBIETA,66
ARIANA,KOBIETA,66
JÓZEFINA,KOBIETA,66
MARIETTA,KOBIETA,63
AURORA,KOBIETA,62
AMANDA,KOBIETA,59
PAULA,KOBIETA,58
KIRA,KOBIETA,58
NICOLA,KOBIETA,58
POLINA,KOBIETA,57
SYLWIA,KOBIETA,57
ZLATA,KOBIETA,56
SOFIIA,KOBIETA,55
INES,KOBIETA,52
EVA,KOBIETA,51
LUNA,KOBIETA,49
VIKTORIA,KOBIETA,48
INEZ,KOBIETA,48
TAMARA,KOBIETA,46
LETYCJA,KOBIETA,45
DALIA,KOBIETA,45
MIRIAM,KOBIETA,44
NAOMI,KOBIETA,44
IDALIA,KOBIETA,44
ROMA,KOBIETA,43
CECYLIA,KOBIETA,43
ADRIANA,KOBIETA,43
NASTIA,KOBIETA,43
JANA,KOBIETA,42
MAGDA,KOBIETA,42
ADELINA,KOBIETA,41
OLA,KOBIETA,41
NELIA,KOBIETA,40
SOPHIA,KOBIETA,40
NICOLE,KOBIETA,40
MARINA,KOBIETA,39
WALERIA,KOBIETA,38
DOBRAWA,KOBIETA,38
ANETA,KOBIETA,38
LARYSA,KOBIETA,37
LILI,KOBIETA,37
HALINA,KOBIETA,37
HONORATA,KOBIETA,37
BEATA,KOBIETA,36
GAIA,KOBIETA,36
ZOE,KOBIETA,36
EDYTA,KOBIETA,35
SOPHIE,KOBIETA,35
JESSICA,KOBIETA,35
MELISA,KOBIETA,34
ANASTASIA,KOBIETA,33
LILLA,KOBIETA,32
VERONIKA,KOBIETA,31
ARINA,KOBIETA,30
LILLY,KOBIETA,30
LILY,KOBIETA,30
FLORA,KOBIETA,29
MARCJANNA,KOBIETA,29
EMILIIA,KOBIETA,29
ANGELINA,KOBIETA,29
BIANCA,KOBIETA,28
ZOYA,KOBIETA,28
LAILA,KOBIETA,28
NADZIEJA,KOBIETA,27
ILONA,KOBIETA,27
NIKOL,KOBIETA,27
EMILY,KOBIETA,27
NIKA,KOBIETA,27
MARCELA,KOBIETA,26
ELEONORA,KOBIETA,25
HIACYNTA,KOBIETA,25
HALSZKA,KOBIETA,25
SOFIJA,KOBIETA,25
OLIMPIA,KOBIETA,25
ANGELIKA,KOBIETA,25
MARYLA,KOBIETA,25
GABRIELLA,KOBIETA,24
ABIGAIL,KOBIETA,23
ANASTASIIA,KOBIETA,23
LEONIA,KOBIETA,23
KSENIA,KOBIETA,23
MAJKA,KOBIETA,23
BOGNA,KOBIETA,22
HANA,KOBIETA,22
SELENA,KOBIETA,22
ALEXANDRA,KOBIETA,22
MICHELLE,KOBIETA,22
VARVARA,KOBIETA,21
TATIANA,KOBIETA,21
WIOLETTA,KOBIETA,21
MARIIA,KOBIETA,21
JOLANTA,KOBIETA,21
IWONA,KOBIETA,21
VIKTORIIA,KOBIETA,21
JASMINA,KOBIETA,21
YEVA,KOBIETA,21
DANIELA,KOBIETA,20
LIA,KOBIETA,20
MELISSA,KOBIETA,20
ORIANA,KOBIETA,20
WANESSA,KOBIETA,19
ANIKA,KOBIETA,19
ALICE,KOBIETA,19
LEILA,KOBIETA,19
HANNAH,KOBIETA,19
CARMEN,KOBIETA,19
NELLA,KOBIETA,19
KATERYNA,KOBIETA,19
MIJA,KOBIETA,18
VIVIEN,KOBIETA,18
ANDŻELIKA,KOBIETA,18
LUKRECJA,KOBIETA,18
RENATA,KOBIETA,17
LAYLA,KOBIETA,17
LEYLA,KOBIETA,17
OLENA,KOBIETA,17
MIRELLA,KOBIETA,17
OLEKSANDRA,KOBIETA,17
IRMINA,KOBIETA,16
ADELAJDA,KOBIETA,16
NELL,KOBIETA,16
INA,KOBIETA,16
MARITA,KOBIETA,16
AMINA,KOBIETA,15
CHARLOTTE,KOBIETA,15
BERENIKA,KOBIETA,15
STANISŁAWA,KOBIETA,15
ELIZABETH,KOBIETA,15
ARIA,KOBIETA,14
ELIANA,KOBIETA,14
KAYA,KOBIETA,14
SAMANTA,KOBIETA,14
VALERIA,KOBIETA,14
BOGUMIŁA,KOBIETA,14
CHLOE,KOBIETA,13
FLORENCJA,KOBIETA,13
ARIANNA,KOBIETA,13
WALENTYNA,KOBIETA,13
MATILDA,KOBIETA,13
ZUZA,KOBIETA,13
ARIADNA,KOBIETA,13
LEOKADIA,KOBIETA,13
BOŻENA,KOBIETA,13
GRETA,KOBIETA,13
ZOSIA,KOBIETA,13
NASTAZJA,KOBIETA,12
LISA,KOBIETA,12
JULIANA,KOBIETA,12
ISABELLA,KOBIETA,12
ARLETA,KOBIETA,12
DOBROSŁAWA,KOBIETA,12
NELLY,KOBIETA,12
CATALEYA,KOBIETA,12
ELWIRA,KOBIETA,12
DOBROMIŁA,KOBIETA,12
CLARA,KOBIETA,12
EVELINA,KOBIETA,11
MARZENA,KOBIETA,11
BELLA,KOBIETA,11
ALENA,KOBIETA,11
ELINA,KOBIETA,11
DAJANA,KOBIETA,11
VERA,KOBIETA,11
OLIVIIA,KOBIETA,11
AISHA,KOBIETA,11
ANA,KOBIETA,11
IZA,KOBIETA,11
AYLA,KOBIETA,11
SOLOMIIA,KOBIETA,11
TOSIA,KOBIETA,10
VIVIENNE,KOBIETA,10
MIROSŁAWA,KOBIETA,10
CELESTYNA,KOBIETA,10
MIYA,KOBIETA,10
AYA,KOBIETA,10
ERIKA,KOBIETA,10
KATIA,KOBIETA,10
LUDMIŁA,KOBIETA,10
SARAH,KOBIETA,10
TINA,KOBIETA,9
KIARA,KOBIETA,9
BRYGIDA,KOBIETA,9
FREYA,KOBIETA,9
ROSE,KOBIETA,9
LINDA,KOBIETA,9
ILIANA,KOBIETA,9
REGINA,KOBIETA,9
ELLA,KOBIETA,9
VALENTINA,KOBIETA,9
JASMINE,KOBIETA,9
EMANUELA,KOBIETA,9
BALBINA,KOBIETA,8
ELISA,KOBIETA,8
CARLA,KOBIETA,8
JASMIN,KOBIETA,8
AMIRA,KOBIETA,8
LARISSA,KOBIETA,8
MIŁOSŁAWA,KOBIETA,8
MIROSLAVA,KOBIETA,8
YELYZAVETA,KOBIETA,8
SAMIRA,KOBIETA,8
GIULIA,KOBIETA,8
ALIA,KOBIETA,8
ANATOLIA,KOBIETA,8
BLANCA,KOBIETA,8
DARYNA,KOBIETA,8
ASTRID,KOBIETA,7
NICOL,KOBIETA,7
WIWIANA,KOBIETA,7
MARIOLA,KOBIETA,7
ERYKA,KOBIETA,7
RACHELA,KOBIETA,7
NOELIA,KOBIETA,7
GRACJA,KOBIETA,7
REBEKA,KOBIETA,7
MARGARITA,KOBIETA,7
ARIELA,KOBIETA,7
EUNIKA,KOBIETA,7
MIŁA,KOBIETA,7
SOLOMIA,KOBIETA,7
SOLOMIYA,KOBIETA,7
MELODY,KOBIETA,7
DOBROCHNA,KOBIETA,7
SOLOMIJA,KOBIETA,7
BERNADETTA,KOBIETA,7
KASANDRA,KOBIETA,7
AIDA,KOBIETA,7
GRAŻYNA,KOBIETA,7
MAIA,KOBIETA,7
ŻANETA,KOBIETA,7
ALICIA,KOBIETA,7
KATALEJA,KOBIETA,7
OFELIA,KOBIETA,7
MARIE,KOBIETA,7
MIIA,KOBIETA,7
SŁAWA,KOBIETA,7
YANA,KOBIETA,7
ZORIANA,KOBIETA,6
ALDONA,KOBIETA,6
PAMELA,KOBIETA,6
NATALIE,KOBIETA,6
LANA,KOBIETA,6
KAYLA,KOBIETA,6
CELIA,KOBIETA,6
FRANCESCA,KOBIETA,6
CHIARA,KOBIETA,6
LEAH,KOBIETA,6
NAWOJKA,KOBIETA,6
HANIA,KOBIETA,6
EMILI,KOBIETA,6
LUDWIKA,KOBIETA,6
VALERIIA,KOBIETA,6
FILOMENA,KOBIETA,6
LIANA,KOBIETA,6
SABRINA,KOBIETA,6
SOFIYA,KOBIETA,6
SOFIE,KOBIETA,6
LILLI,KOBIETA,6
LUISA,KOBIETA,6
KAMELIA,KOBIETA,6
LEIA,KOBIETA,6
KORA,KOBIETA,6
SYNTIA,KOBIETA,6
AYLIN,KOBIETA,6
JOSEPHINE,KOBIETA,6
LIYA,KOBIETA,6
YULIIA,KOBIETA,6
MALIKA,KOBIETA,6
TULIA,KOBIETA,6
ANATOLA,KOBIETA,6
JANKA,KOBIETA,6
SCARLETT,KOBIETA,5
NILA,KOBIETA,5
WIERA,KOBIETA,5
MARYAM,KOBIETA,5
ISABEL,KOBIETA,5
WERA,KOBIETA,5
INGRID,KOBIETA,5
OKSANA,KOBIETA,5
LEONIE,KOBIETA,5
ALMA,KOBIETA,5
ENOLA,KOBIETA,5
BERNADETA,KOBIETA,5
AMY,KOBIETA,5
VIVIANA,KOBIETA,5
ELA,KOBIETA,5
AVA,KOBIETA,5
ZYTA,KOBIETA,5
RAISA,KOBIETA,5
LORENA,KOBIETA,5
IVANNA,KOBIETA,5
WANESA,KOBIETA,5
LEJLA,KOBIETA,5
JESSIKA,KOBIETA,5
EKATERINA,KOBIETA,5
