Nazwisko aktualne,Liczba
NOWAK,141069
KOWALSKA,91013
WIŚNIEWSKA,71690
WÓJCIK,64785
KOWALCZYK,63301
KAMIŃSKA,61830
LEWANDOWSKA,61405
DĄBROWSKA,60315
ZIELIŃSKA,59705
SZYMAŃSKA,58443
WOŹNIAK,57582
KOZŁOWSKA,49685
JANKOWSKA,44903
MAZUR,43791
KWIATKOWSKA,43754
WOJCIECHOWSKA,43706
KRAWCZYK,41790
KACZMAREK,40534
PIOTROWSKA,40474
GRABOWSKA,38072
PAWŁOWSKA,36463
MICHALSKA,36005
ZAJĄC,35526
KRÓL,35031
NOWAKOWSKA,34554
WIECZOREK,33503
JABŁOŃSKA,32924
WRÓBEL,32531
ADAMCZYK,32481
MAJEWSKA,32429
DUDEK,31786
NOWICKA,31637
OLSZEWSKA,31234
JAWORSKA,30960
MALINOWSKA,30785
STĘPIEŃ,30508
GÓRSKA,29650
PAWLAK,29487
WITKOWSKA,29375
WALCZAK,28846
SIKORA,28622
RUTKOWSKA,28592
MICHALAK,27928
SZEWCZYK,27689
OSTROWSKA,27483
BARAN,27266
TOMASZEWSKA,26477
PIETRZAK,25755
WRÓBLEWSKA,25343
ZALEWSKA,25323
MARCINIAK,25283
JASIŃSKA,25165
DUDA,24932
JAKUBOWSKA,24798
ZAWADZKA,24747
SADOWSKA,24601
WŁODARCZYK,23469
BĄK,23425
CHMIELEWSKA,23285
BORKOWSKA,23150
WILK,22789
SOKOŁOWSKA,22674
SZCZEPAŃSKA,22257
SAWICKA,22224
KUCHARSKA,21735
LIS,21527
MACIEJEWSKA,21291
KUBIAK,21069
KALINOWSKA,21042
CZARNECKA,21030
MAZUREK,20961
WYSOCKA,20885
URBAŃSKA,20094
KOŁODZIEJ,20013
KAŹMIERCZAK,19745
SOBCZAK,18613
GŁOWACKA,18537
KRAJEWSKA,18408
ZAKRZEWSKA,18392
SIKORSKA,18384
ADAMSKA,18202
WASILEWSKA,18136
KRUPA,18100
GAJEWSKA,17900
ZIÓŁKOWSKA,17866
LASKOWSKA,17779
MAKOWSKA,17661
SZULC,17597
CZERWIŃSKA,17474
SZYMCZAK,17380
BRZEZIŃSKA,17361
MRÓZ,17326
PRZYBYLSKA,17325
BARANOWSKA,17321
BŁASZCZYK,17180
ANDRZEJEWSKA,17141
KACZMARCZYK,17040
BOROWSKA,16930
CIEŚLAK,16893
GÓRECKA,16807
CHOJNACKA,16693
KANIA,16499
LESZCZYŃSKA,16465
SZCZEPANIAK,16417
LIPIŃSKA,16402
WESOŁOWSKA,16375
JANIK,16334
KOZAK,16166
KOWALEWSKA,16153
MIKOŁAJCZYK,16045
KONIECZNA,15947
DOMAŃSKA,15938
MUCHA,15937
KOZIOŁ,15728
NOWACKA,15688
JAROSZ,15608
KOWALIK,15438
CIESIELSKA,15380
KOŁODZIEJCZYK,15374
MARKOWSKA,15374
MUSIAŁ,15280
ZIĘBA,15239
BRZOZOWSKA,15090
ORŁOWSKA,14760
TOMCZYK,14677
TOMCZAK,14626
MARKIEWICZ,14595
KUREK,14591
PIĄTEK,14574
PAWLIK,14565
KOPEĆ,14515
ŻAK,14483
WAWRZYNIAK,14370
URBANIAK,14283
CZAJKOWSKA,14246
WOLSKA,14222
KOT,14122
POLAK,14034
STANKIEWICZ,14016
WÓJTOWICZ,14003
NAWROCKA,13995
KRUK,13847
JASTRZĘBSKA,13716
ŁUCZAK,13651
STASIAK,13578
WIERZBICKA,13543
DZIEDZIC,13509
KARPIŃSKA,13450
SOWA,13415
PIASECKA,13333
BEDNAREK,13146
JANICKA,12989
STEFAŃSKA,12950
GAJDA,12945
KLIMEK,12943
SOSNOWSKA,12886
BIELECKA,12856
DOBROWOLSKA,12721
URBAN,12706
JÓŹWIAK,12622
MILEWSKA,12565
MAJCHRZAK,12508
MADEJ,12423
MAJ,12288
MAŁECKA,12262
ŚLIWIŃSKA,12231
DOMAGAŁA,12210
LEŚNIAK,12201
KOWAL,12099
SOCHA,11939
SKIBA,11867
MAREK,11858
BEDNARCZYK,11753
WRONA,11688
ROMANOWSKA,11670
MATUSZEWSKA,11610
WILCZYŃSKA,11547
